Car ID,Car Name,Brand,Model Year,Fuel Type,Transmission,Color
1,Mustang,Ford,2023,Petrol,Manual,Red
2,Camaro,Chevrolet,2022,Petrol,Automatic,Yellow
3,Challenger,Dodge,2023,Petrol,Automatic,Black
4,F-150,Ford,2021,Diesel,Automatic,Blue
5,Corvette,Chevrolet,2023,Petrol,Automatic,Silver
6,Bronco,Ford,2022,Petrol,Manual,Green
7,Tahoe,Chevrolet,2021,Diesel,Automatic,White
8,Durango,Dodge,2022,Petrol,Automatic,Gray
9,Explorer,Ford,2023,Petrol,Automatic,Black
10,Blazer,Chevrolet,2022,Petrol,Manual,Orange
11,Ram 1500,RAM,2023,Diesel,Automatic,White
12,Suburban,Chevrolet,2021,Diesel,Automatic,Silver
13,Expedition,Ford,2023,Petrol,Automatic,Blue
14,Equinox,Chevrolet,2020,Petrol,Automatic,Red
15,Journey,Dodge,2021,Petrol,Manual,Gray
16,Wrangler,Jeep,2023,Petrol,Manual,Green
17,Cherokee,Jeep,2022,Diesel,Automatic,White
18,Compass,Jeep,2023,Petrol,Automatic,Black
19,Renegade,Jeep,2021,Petrol,Manual,Yellow
20,Gladiator,Jeep,2023,Diesel,Manual,Gray
21,Charger,Dodge,2022,Petrol,Automatic,Silver
22,Maverick,Ford,2023,Petrol,Automatic,Orange
23,Colorado,Chevrolet,2022,Diesel,Manual,Blue
24,Silverado,Chevrolet,2023,Diesel,Automatic,Black
25,Ranger,Ford,2022,Diesel,Manual,White
26,Sierra,GMC,2023,Diesel,Automatic,Red
27,Yukon,GMC,2022,Diesel,Automatic,Gray
28,Envoy,GMC,2020,Petrol,Automatic,Silver
29,Encore,Buick,2021,Petrol,Manual,Blue
30,Enclave,Buick,2022,Petrol,Automatic,Black
31,Regal,Buick,2020,Petrol,Manual,White
32,LaCrosse,Buick,2021,Petrol,Automatic,Gray
33,Lucerne,Buick,2019,Petrol,Manual,Silver
34,Model S,Tesla,2023,Electric,Automatic,Red
35,Model 3,Tesla,2022,Electric,Automatic,White
36,Model X,Tesla,2023,Electric,Automatic,Blue
37,Model Y,Tesla,2023,Electric,Automatic,Black
38,Cybertruck,Tesla,2024,Electric,Automatic,Silver
39,Bolt,Chevrolet,2022,Electric,Automatic,Gray
40,Hummer EV,GMC,2023,Electric,Automatic,White
41,Escalade,Cadillac,2023,Diesel,Automatic,Black
42,XT5,Cadillac,2022,Petrol,Automatic,Silver
43,CT5,Cadillac,2023,Petrol,Automatic,Gray
44,CT4,Cadillac,2022,Petrol,Manual,White
45,XT6,Cadillac,2023,Diesel,Automatic,Blue
46,Navigator,Lincoln,2023,Diesel,Automatic,Black
47,Aviator,Lincoln,2022,Petrol,Automatic,Silver
48,Corsair,Lincoln,2022,Petrol,Manual,White
49,Continental,Lincoln,2020,Petrol,Automatic,Gray
50,MKZ,Lincoln,2021,Petrol,Automatic,Red
51,Pacifica,Chrysler,2023,Hybrid,Automatic,Blue
52,300,Chrysler,2022,Petrol,Automatic,White
53,Voyager,Chrysler,2021,Petrol,Automatic,Gray
54,Grand Caravan,Dodge,2020,Petrol,Automatic,Silver
55,Nitro,Dodge,2019,Petrol,Manual,Black
56,Avenger,Dodge,2018,Petrol,Manual,Red
57,Trailblazer,Chevrolet,2023,Petrol,Automatic,Blue
58,Trax,Chevrolet,2022,Petrol,Manual,Gray
59,Malibu,Chevrolet,2023,Petrol,Automatic,White
60,Impala,Chevrolet,2020,Petrol,Automatic,Silver
61,Fusion,Ford,2020,Petrol,Automatic,Black
62,Edge,Ford,2021,Petrol,Automatic,Blue
63,Escape,Ford,2023,Petrol,Automatic,White
64,Taurus,Ford,2019,Petrol,Manual,Gray
65,Focus,Ford,2021,Petrol,Automatic,Red
66,Fiesta,Ford,2018,Petrol,Manual,Yellow
67,Cruze,Chevrolet,2019,Petrol,Manual,Blue
68,Volt,Chevrolet,2020,Hybrid,Automatic,Silver
69,Bolt EUV,Chevrolet,2023,Electric,Automatic,Gray
70,Durango SRT,Dodge,2023,Petrol,Automatic,Red
71,RAM 2500,RAM,2022,Diesel,Automatic,White
72,RAM 3500,RAM,2023,Diesel,Automatic,Black
73,Journey GT,Dodge,2020,Petrol,Manual,Blue
74,Charger SRT,Dodge,2023,Petrol,Automatic,Gray
75,Grand Cherokee,Jeep,2023,Diesel,Automatic,White
76,Patriot,Jeep,2019,Petrol,Manual,Silver
77,Commander,Jeep,2020,Diesel,Automatic,Black
78,Liberty,Jeep,2018,Petrol,Manual,Blue
79,Renegade Sport,Jeep,2023,Petrol,Automatic,Yellow
80,Model Z,Tesla,2025,Electric,Automatic,White
81,Cyber SUV,Tesla,2025,Electric,Automatic,Silver
82,Lightning,Ford,2024,Electric,Automatic,Gray
83,Trailhawk,Jeep,2023,Diesel,Automatic,Red
84,Durango GT,Dodge,2023,Petrol,Automatic,Black
85,Silverado EV,Chevrolet,2024,Electric,Automatic,Blue
86,Tahoe Premier,Chevrolet,2023,Diesel,Automatic,White
87,Sierra Denali,GMC,2023,Diesel,Automatic,Gray
88,Escalade V,Cadillac,2024,Petrol,Automatic,Black
89,Aviator Grand Touring,Lincoln,2023,Hybrid,Automatic,Silver
